iso3_country,emissions_quantity,end_date,start_date
BGD,68342184.89663668,2015-12-31,2015-01-01
BGD,66443587.98312877,2016-12-31,2016-01-01
BGD,61205402.39545749,2017-12-31,2017-01-01
BGD,62466321.439928606,2018-12-31,2018-01-01
BGD,60414755.64184206,2019-12-31,2019-01-01
BGD,61479637.30540425,2020-12-31,2020-01-01
BGD,57919148.388,2021-12-31,2021-01-01
BGD,49928905.07862186,2022-12-31,2022-01-01
BGD,50014505.47668826,2023-12-31,2023-01-01
BGD,50270053.78327303,2024-12-31,2024-01-01
BGD,12497953.911558447,2025-12-31,2025-01-01
BRA,26424418.67071221,2015-12-31,2015-01-01
BRA,24009844.64700493,2016-12-31,2016-01-01
BRA,28853788.74842689,2017-12-31,2017-01-01
BRA,28741722.818370864,2018-12-31,2018-01-01
BRA,25525447.15516273,2019-12-31,2019-01-01
BRA,37998205.99299911,2020-12-31,2020-01-01
BRA,35287805.169,2021-12-31,2021-01-01
BRA,22107625.7877,2022-12-31,2022-01-01
BRA,16464220.11,2023-12-31,2023-01-01
BRA,16814381.8221,2024-12-31,2024-01-01
BRA,5074465.109934823,2025-12-31,2025-01-01
CHN,113500136.58254252,2015-12-31,2015-01-01
CHN,122155946.30303308,2016-12-31,2016-01-01
CHN,110531288.52650625,2017-12-31,2017-01-01
CHN,108654129.1929109,2018-12-31,2018-01-01
CHN,104202567.21291114,2019-12-31,2019-01-01
CHN,94087137.76142608,2020-12-31,2020-01-01
CHN,127392767.7171117,2021-12-31,2021-01-01
CHN,129903807.699,2022-12-31,2022-01-01
CHN,127405205.21810845,2023-12-31,2023-01-01
CHN,112615604.86954744,2024-12-31,2024-01-01
CHN,25275501.218531866,2025-12-31,2025-01-01
IDN,69698463.29493785,2015-12-31,2015-01-01
IDN,55601832.73737456,2016-12-31,2016-01-01
IDN,52230411.20629946,2017-12-31,2017-01-01
IDN,63941571.68939069,2018-12-31,2018-01-01
IDN,68805923.55869272,2019-12-31,2019-01-01
IDN,64538290.218908414,2020-12-31,2020-01-01
IDN,78017630.7620637,2021-12-31,2021-01-01
IDN,78537206.54777044,2022-12-31,2022-01-01
IDN,75031477.59466481,2023-12-31,2023-01-01
IDN,78989914.61100002,2024-12-31,2024-01-01
IDN,29359527.225520253,2025-12-31,2025-01-01
IND,88430065.30714348,2015-12-31,2015-01-01
IND,75749007.48321596,2016-12-31,2016-01-01
IND,88408177.8506739,2017-12-31,2017-01-01
IND,93364799.87393166,2018-12-31,2018-01-01
IND,106799246.51972374,2019-12-31,2019-01-01
IND,107721742.49398395,2020-12-31,2020-01-01
IND,97113983.79106145,2021-12-31,2021-01-01
IND,114720922.9783004,2022-12-31,2022-01-01
IND,116382920.02808031,2023-12-31,2023-01-01
IND,117141870.1521172,2024-12-31,2024-01-01
IND,21804063.363361016,2025-12-31,2025-01-01
MMR,5799188.952121124,2015-12-31,2015-01-01
MMR,6606273.483222935,2016-12-31,2016-01-01
MMR,6181820.871898759,2017-12-31,2017-01-01
MMR,7034046.085879488,2018-12-31,2018-01-01
MMR,6446285.728305299,2019-12-31,2019-01-01
MMR,6259307.593507295,2020-12-31,2020-01-01
MMR,7051749.11931873,2021-12-31,2021-01-01
MMR,7608594.050520976,2022-12-31,2022-01-01
MMR,7629907.376417554,2023-12-31,2023-01-01
MMR,7657031.655,2024-12-31,2024-01-01
MMR,853850.3549490492,2025-12-31,2025-01-01
PHL,14501296.430643337,2015-12-31,2015-01-01
PHL,17204668.181967728,2016-12-31,2016-01-01
PHL,16223714.009977588,2017-12-31,2017-01-01
PHL,17662922.87417406,2018-12-31,2018-01-01
PHL,15153408.01088678,2019-12-31,2019-01-01
PHL,18854803.09415427,2020-12-31,2020-01-01
PHL,23998961.67855183,2021-12-31,2021-01-01
PHL,30254334.22091354,2022-12-31,2022-01-01
PHL,29912749.14564817,2023-12-31,2023-01-01
PHL,29739318.723,2024-12-31,2024-01-01
PHL,10363123.227977764,2025-12-31,2025-01-01
THA,69653721.0224792,2015-12-31,2015-01-01
THA,79756534.16703808,2016-12-31,2016-01-01
THA,54175956.72781049,2017-12-31,2017-01-01
THA,42816088.9894058,2018-12-31,2018-01-01
THA,58475239.03151913,2019-12-31,2019-01-01
THA,71311188.65327561,2020-12-31,2020-01-01
THA,107850431.74500002,2021-12-31,2021-01-01
THA,114477088.85870127,2022-12-31,2022-01-01
THA,112863510.0,2023-12-31,2023-01-01
THA,114354911.2561908,2024-12-31,2024-01-01
THA,26282901.144227453,2025-12-31,2025-01-01
VNM,53474709.05936498,2015-12-31,2015-01-01
VNM,58273181.1778324,2016-12-31,2016-01-01
VNM,55804292.2777746,2017-12-31,2017-01-01
VNM,51539655.97641039,2018-12-31,2018-01-01
VNM,50020317.997305885,2019-12-31,2019-01-01
VNM,54627845.93580973,2020-12-31,2020-01-01
VNM,53907544.75480466,2021-12-31,2021-01-01
VNM,43831727.69104508,2022-12-31,2022-01-01
VNM,44703942.38764275,2023-12-31,2023-01-01
VNM,44651371.130104646,2024-12-31,2024-01-01
VNM,18432433.64108008,2025-12-31,2025-01-01
